"longevity","condition"
60,"Null"
53,"Null"
36,"Null"
55,"Null"
81,"Null"
36,"Null"
61,"Null"
46,"Null"
92,"Null"
45,"Null"
40,"Null"
86,"Null"
65,"Null"
79,"Null"
57,"Null"
87,"Null"
45,"Null"
66,"Null"
69,"Null"
76,"Null"
78,"Null"
53,"Null"
62,"Null"
75,"Null"
46,"Null"
76,"OnePreg"
79,"OnePreg"
32,"OnePreg"
105,"OnePreg"
89,"OnePreg"
44,"OnePreg"
29,"OnePreg"
65,"OnePreg"
67,"OnePreg"
66,"OnePreg"
54,"OnePreg"
69,"OnePreg"
82,"OnePreg"
50,"OnePreg"
80,"OnePreg"
70,"OnePreg"
70,"OnePreg"
94,"OnePreg"
77,"OnePreg"
63,"OnePreg"
47,"OnePreg"
76,"OnePreg"
77,"OnePreg"
81,"OnePreg"
73,"OnePreg"
69,"OneVirgin"
77,"OneVirgin"
61,"OneVirgin"
67,"OneVirgin"
67,"OneVirgin"
32,"OneVirgin"
44,"OneVirgin"
69,"OneVirgin"
67,"OneVirgin"
84,"OneVirgin"
78,"OneVirgin"
76,"OneVirgin"
58,"OneVirgin"
72,"OneVirgin"
98,"OneVirgin"
46,"OneVirgin"
32,"OneVirgin"
62,"OneVirgin"
80,"OneVirgin"
80,"OneVirgin"
74,"OneVirgin"
46,"OneVirgin"
69,"OneVirgin"
68,"OneVirgin"
54,"OneVirgin"
71,"EightPreg"
56,"EightPreg"
45,"EightPreg"
68,"EightPreg"
61,"EightPreg"
77,"EightPreg"
30,"EightPreg"
77,"EightPreg"
56,"EightPreg"
59,"EightPreg"
50,"EightPreg"
62,"EightPreg"
39,"EightPreg"
60,"EightPreg"
61,"EightPreg"
88,"EightPreg"
65,"EightPreg"
62,"EightPreg"
51,"EightPreg"
27,"EightPreg"
52,"EightPreg"
38,"EightPreg"
65,"EightPreg"
63,"EightPreg"
40,"EightPreg"
33,"EightVirgin"
42,"EightVirgin"
19,"EightVirgin"
46,"EightVirgin"
47,"EightVirgin"
26,"EightVirgin"
11,"EightVirgin"
45,"EightVirgin"
46,"EightVirgin"
52,"EightVirgin"
56,"EightVirgin"
35,"EightVirgin"
33,"EightVirgin"
39,"EightVirgin"
29,"EightVirgin"
31,"EightVirgin"
33,"EightVirgin"
63,"EightVirgin"
19,"EightVirgin"
38,"EightVirgin"
42,"EightVirgin"
20,"EightVirgin"
46,"EightVirgin"
34,"EightVirgin"
35,"EightVirgin"
